name,group,id,Niacin (mg),Pantothenic acid (mg),Vitamin B-6 (mg),"Folate, total (mcg)",Vitamin B-12 (mcg),"Choline, total (mg)",Menaquinone-4 (mcg),Dihydrophylloquinone (mcg),Vitamin K (phylloquinone) (mcg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)",Betaine (mg),Tryptophan (g),Threonine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Cystine (g),Phenylalanine (g),Tyrosine (g),Valine (g),Arginine (g),Histidine (g),Alanine (g),Aspartic acid (g),Glutamic acid (g),Glycine (g),Proline (g),Serine (g),Hydroxyproline (g),"Vitamin E, added (mg)","Vitamin B-12, added (mcg)",Cholesterol (mg),"Fatty acids, total trans (g)","Fatty acids, total saturated (g)",4:0 (g),6:0 (g),8:0 (g),10:0 (g),12:0 (g),14:0 (g),16:0 (g),18:0 (g),20:0 (g),18:1 undifferentiated (g),18:2 undifferentiated (g),18:3 undifferentiated (g),20:4 undifferentiated (g)
"Pork, fresh, enhanced, composite of separable fat, cooked",1000,10000,3.93,0.513,0.234,,1.4,46,,,,,,,2,0.106,0.451,0.495,0.857,0.933,0.277,0.116,0.423,0.383,0.525,0.669,0.434,0.59,0.984,1.605,0.453,0.407,0.435,0.026,,,81,0.656,21.382,,,,0.044,0.044,0.745,12.889,7.289,,23.268,7.624,0.38,0.138
"Pork, fresh, carcass, separable lean and fat, raw",1000,10001,3.846,0.526,0.284,4,0.61,,,,,,4,4,,0.16,0.61,0.616,1.088,1.23,0.347,0.169,0.547,0.454,0.737,0.911,0.509,0.832,1.249,2.062,0.868,0.672,0.574,,,,74,,12.44,,,,0.03,0.05,0.44,7.65,4.2,,14.66,3.3,0.29,0.11
"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw",1000,10002,5.589,0.934,0.646,2,0.64,50.4,,,,,2,2,2.5,0.238,0.957,1.027,1.773,1.947,0.577,0.253,0.877,0.786,1.121,1.382,0.894,1.241,2.04,3.364,0.971,0.855,0.904,0.038,,,64,0.01,1.022,,,,0.004,0.003,0.058,1.018,0.52,,1.887,0.438,0.02,0.049
"Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw",1000,10003,4.73,0.899,0.504,3,0.67,34.7,,,,,3,3,1.7,0.205,0.816,0.863,1.498,1.657,0.485,0.218,0.744,0.654,0.963,1.19,0.742,1.073,1.723,2.841,0.915,0.774,0.771,0.024,,,69,0.034,4.918,,,,0.007,0.011,0.179,3.141,1.693,0.006,5.82,1.506,0.091,0.116
"Pork, fresh, backfat, raw",1000,10004,0.985,0.115,0.04,1,0.18,15.4,,,,,1,1,0.6,0.037,0.133,0.137,0.234,0.263,0.077,0.037,0.117,0.102,0.158,0.182,0.117,0.17,0.271,0.457,0.139,0.117,0.121,,,,57,,32.21,,,,0.06,0.19,1.12,19.45,11.39,,38.48,9.5,0.74,0.11
"Pork, fresh, belly, raw",1000,10005,4.647,0.256,0.13,1,0.84,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,72,,19.33,,,,0.04,0.06,0.7,11.92,6.49,,22.77,5.03,0.48,0.14
"Pork, fresh, separable fat, raw",1000,10006,4.11,0.611,0.181,,0.7,31,,,,,,,1.2,0.069,0.256,0.276,0.479,0.517,0.159,0.066,0.242,0.231,0.294,0.375,0.237,0.333,0.544,0.889,0.263,0.235,0.243,0.02,,,86,0.465,18.843,,,,0.043,0.043,0.68,11.5,6.26,0.089,20.133,8.207,0.397,0.141
"Pork, fresh, separable fat, cooked",1000,10007,5.04,0.694,0.211,,0.71,32.9,,,,,,,1.9,0.131,0.486,0.523,0.909,0.982,0.303,0.124,0.459,0.437,0.558,0.711,0.449,0.632,1.033,1.687,0.499,0.446,0.461,0.039,,,84,0.497,24.413,,,,0.054,0.054,0.861,14.8,8.23,0.121,24.956,10.188,0.469,0.16
"Pork, fresh, leg (ham), whole, separable lean and fat, raw",1000,10008,4.574,0.685,0.401,7,0.63,,,,,,7,7,,0.208,0.776,0.787,1.376,1.55,0.444,0.216,0.689,0.583,0.931,1.12,0.659,1.032,1.584,2.636,0.992,0.79,0.72,,,,73,,6.54,,,,0.01,0.02,0.24,4.06,2.16,,7.7,1.69,0.14,0.09
"Pork, fresh, leg (ham), whole, separable lean and fat, cooked, roasted",1000,10009,4.574,0.617,0.402,10,0.68,92.2,,,,,10,10,3.6,0.324,1.198,1.218,2.122,2.39,0.687,0.333,1.062,0.903,1.437,1.717,1.022,1.585,2.445,4.077,1.493,1.198,1.108,,,,94,,6.47,,,,0.02,0.01,0.22,4.01,2.11,,7.23,1.52,0.05,0.07
"Pork, fresh, leg (ham), whole, separable lean only, raw",1000,10010,5.338,0.805,0.5,9,0.71,72.3,,,,,9,9,3.4,0.26,0.935,0.959,1.643,1.842,0.542,0.261,0.818,0.714,1.111,1.273,0.818,1.193,1.9,3.206,0.972,0.823,0.846,,,,68,,1.87,,,,0.01,0.01,0.07,1.19,0.58,,2.22,0.47,0.02,0.07
"Pork, fresh, leg (ham), whole, separable lean only, cooked, roasted",1000,10011,4.935,0.67,0.45,12,0.72,101.1,,,,,12,12,3.9,0.374,1.343,1.377,2.36,2.645,0.779,0.375,1.174,1.025,1.595,1.828,1.175,1.713,2.728,4.604,1.396,1.181,1.215,,,,94,,3.3,,,,0.02,0.01,0.11,2.08,1.04,,4.09,0.77,0.02,0.06
"Pork, fresh, leg (ham), rump half, separable lean and fat, raw",1000,10012,4.345,0.598,0.392,3,0.64,,,,,,3,3,,0.228,0.84,0.855,1.486,1.672,0.483,0.234,0.743,0.634,1.006,1.194,0.72,1.105,1.713,2.862,1.018,0.823,0.774,,,,66,,5.44,,,,0.01,0.02,0.2,3.38,1.79,,6.41,1.4,0.12,0.08
"Pork, fresh, leg (ham), rump half, separable lean and fat, cooked, roasted",1000,10013,4.655,0.623,0.316,3,0.72,99.2,,,,,3,3,3.8,0.354,1.299,1.324,2.295,2.581,0.748,0.362,1.147,0.983,1.553,1.831,1.117,1.699,2.647,4.431,1.532,1.248,1.193,,,,96,,5.25,,,,0.02,0.01,0.18,3.25,1.7,,5.84,1.25,0.04,0.06
"Pork, fresh, leg (ham), rump half, separable lean only, raw",1000,10014,4.859,0.668,0.464,3,0.71,,,,,,3,3,,0.27,0.97,0.995,1.705,1.91,0.562,0.271,0.848,0.74,1.153,1.321,0.849,1.238,1.97,3.326,1.009,0.853,0.878,,,,61,,1.79,,,,,0.01,0.06,1.14,0.56,,2.13,0.45,0.02,0.06
"Pork, fresh, leg (ham), rump half, separable lean only, cooked, roasted",1000,10015,4.917,0.66,0.339,3,0.75,,,,,,3,3,,0.393,1.413,1.449,2.482,2.782,0.819,0.395,1.235,1.078,1.678,1.923,1.236,1.802,2.87,4.843,1.469,1.243,1.278,,,,96,,2.87,,,,0.01,0.01,0.1,1.81,0.9,,3.47,0.69,0.02,0.05
"Pork, fresh, leg (ham), shank half, separable lean and fat, raw",1000,10016,3.909,0.672,0.393,4,0.6,,,,,,4,4,,0.202,0.757,0.767,1.344,1.517,0.432,0.21,0.674,0.567,0.911,1.104,0.64,1.014,1.547,2.568,0.999,0.789,0.705,,,,68,,7.29,,,,0.02,0.02,0.26,4.52,2.41,,8.58,1.88,0.16,0.09
"Pork, fresh, leg (ham), shank half, separable lean and fat, cooked, roasted",1000,10017,4.46,0.62,0.401,5,0.66,,,,,,5,5,,0.301,1.125,1.141,1.997,2.253,0.644,0.313,1.001,0.845,1.353,1.634,0.954,1.503,2.299,3.821,1.465,1.161,1.046,,,,92,,7.36,,,,0.02,0.02,0.25,4.56,2.4,,8.27,1.71,0.06,0.08
"Pork, fresh, leg (ham), shank half, separable lean only, raw",1000,10018,4.605,0.811,0.51,5,0.69,,,,,,5,5,,0.262,0.942,0.966,1.654,1.854,0.546,0.263,0.823,0.718,1.119,1.282,0.824,1.201,1.913,3.228,0.979,0.828,0.852,,,,60,,1.94,,,,0.01,0.01,0.07,1.24,0.61,,2.31,0.49,0.02,0.07
"Pork, fresh, leg (ham), shank half, separable lean only, cooked, roasted",1000,10019,4.881,0.685,0.46,6,0.71,,,,,,6,6,,0.358,1.288,1.321,2.263,2.537,0.747,0.36,1.126,0.983,1.53,1.754,1.127,1.643,2.617,4.416,1.339,1.133,1.165,,,,92,,3.63,,,,0.02,0.01,0.12,2.3,1.14,,4.63,0.82,0.02,0.07
"Pork, fresh, loin, whole, separable lean and fat, raw",1000,10020,4.58,0.723,0.472,1,0.53,69.7,,,,,1,1,3.2,0.244,0.891,0.91,1.572,1.766,0.514,0.248,0.785,0.676,1.064,1.245,0.77,1.158,1.814,3.044,1.019,0.838,0.815,,,,63,,4.36,,,,0.01,0.01,0.16,2.72,1.42,,5.14,1.11,0.09,0.08
"Pork, fresh, loin, whole, separable lean and fat, cooked, braised",1000,10021,4.419,0.648,0.366,3,0.54,93.6,,,,,3,3,3.6,0.336,1.229,1.254,2.168,2.436,0.708,0.343,1.082,0.931,1.467,1.719,1.061,1.598,2.501,4.195,1.413,1.159,1.124,,,,80,,5.11,,,,0.01,0.01,0.18,3.14,1.67,,5.48,1.04,0.04,0.04
"Pork, fresh, loin, whole, separable lean and fat, cooked, broiled",1000,10022,5.037,0.698,0.464,5,0.7,93.9,,,,,5,5,3.6,0.338,1.234,1.26,2.177,2.446,0.712,0.344,1.086,0.936,1.473,1.723,1.067,1.603,2.512,4.215,1.409,1.158,1.128,,,,80,,5.23,,,,0.01,0.01,0.18,3.21,1.71,,5.6,1.07,0.04,0.05
"Pork, fresh, loin, whole, separable lean and fat, cooked, roasted",1000,10023,5.572,0.76,0.516,6,0.71,93.1,,,,,6,6,3.6,0.341,1.232,1.261,2.168,2.432,0.713,0.344,1.08,0.938,1.466,1.693,1.073,1.582,2.504,4.218,1.327,1.11,1.119,,,,82,,5.37,,,,0.01,0.01,0.19,3.31,1.75,,5.86,1.07,0.03,0.06
"Pork, fresh, loin, whole, separable lean only, raw",1000,10024,4.915,0.781,0.527,5,0.63,75.6,,,,,5,5,3.5,0.272,0.978,1.003,1.719,1.927,0.567,0.273,0.855,0.747,1.162,1.332,0.856,1.248,1.987,3.354,1.017,0.861,0.885,,,,59,,1.95,,,,0.01,0.01,0.07,1.25,0.61,,2.32,0.49,0.02,0.07
"Pork, fresh, loin, whole, separable lean only, cooked, braised",1000,10025,4.588,0.677,0.387,4,0.55,98.2,,,,,4,4,3.8,0.363,1.305,1.338,2.292,2.569,0.756,0.364,1.14,0.995,1.55,1.776,1.141,1.664,2.65,4.472,1.357,1.148,1.18,,,,79,,3.38,,,,0.01,0.01,0.12,2.09,1.09,,3.74,0.62,0.02,0.04
"Pork, fresh, loin, whole, separable lean only, cooked, broiled",1000,10026,5.243,0.729,0.492,6,0.72,98.2,,,,,6,6,3.8,0.363,1.305,1.338,2.292,2.569,0.756,0.364,1.14,0.995,1.55,1.776,1.141,1.664,2.65,4.472,1.357,1.148,1.18,,,,79,,3.64,,,,0.01,0.01,0.13,2.25,1.18,,4,0.68,0.02,0.04
"Pork, fresh, loin, whole, separable lean only, cooked, roasted",1000,10027,5.893,0.782,0.552,1,0.73,98.4,,,,,1,1,3.8,0.364,1.307,1.34,2.297,2.574,0.758,0.365,1.143,0.997,1.553,1.779,1.143,1.668,2.655,4.481,1.359,1.15,1.182,,,,81,,3.51,,,,0.01,0.01,0.12,2.17,1.13,,3.88,0.66,0.02,0.04
"Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw",1000,10028,6.704,1.046,0.427,,0.55,67.2,,,,,,,2.6,0.228,0.841,0.905,1.574,1.7,0.524,0.216,0.794,0.758,0.967,1.232,0.778,1.095,1.788,2.921,0.864,0.773,0.798,0.067,,,63,0.08,4.27,,,,0.011,0.01,0.153,2.609,1.419,0.02,4.584,1.699,0.079,0.077
"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, braised",1000,10029,7.381,0.944,0.488,,0.62,81.4,,,,,,,3.2,0.316,1.167,1.257,2.185,2.361,0.728,0.299,1.103,1.052,1.343,1.71,1.08,1.52,2.483,4.055,1.2,1.073,1.108,0.093,,,86,0.067,4.487,,,,0.012,0.011,0.158,2.734,1.501,0.022,4.725,1.692,0.075,0.094
"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, broiled",1000,10030,7.927,1.104,0.489,,0.66,67.5,,,,,,,2.5,0.282,1.043,1.123,1.952,2.109,0.65,0.267,0.985,0.94,1.2,1.528,0.965,1.359,2.219,3.623,1.072,0.959,0.991,0.083,,,78,0.066,4.339,,,,0.011,0.01,0.153,2.643,1.453,0.021,4.559,1.65,0.073,0.086
"Pork, fresh, loin, blade (roasts), bone-in, separable lean and fat, cooked, roasted",1000,10031,6.705,1.331,0.436,,0.79,83,,,,,,,3.3,0.289,1.068,1.15,1.999,2.16,0.666,0.274,1.009,0.962,1.229,1.565,0.988,1.391,2.272,3.711,1.098,0.982,1.014,0.085,,,83,0.112,5.9,,,0.002,0.015,0.013,0.208,3.594,1.973,0.027,6.245,2.194,0.095,0.065
"Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean only, raw",1000,10032,7.113,1.115,0.466,,0.53,72.9,,,,,,,2.8,0.253,0.933,1.005,1.746,1.887,0.582,0.239,0.882,0.841,1.073,1.367,0.863,1.215,1.985,3.241,0.959,0.858,0.886,0.074,,,59,0.02,1.974,,,,0.006,0.005,0.069,1.208,0.656,0.009,2.133,0.673,0.028,0.067
"Pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, braised",1000,10033,7.604,0.968,0.515,,0.61,86,,,,,,,3.3,0.333,1.232,1.327,2.306,2.492,0.768,0.316,1.164,1.11,1.417,1.805,1.14,1.605,2.621,4.28,1.266,1.133,1.17,0.098,,,87,0.026,2.59,,,,0.008,0.007,0.091,1.586,0.861,0.012,2.799,0.884,0.037,0.088
"Pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, broiled",1000,10034,8.218,1.145,0.517,,0.66,71,,,,,,,2.6,0.297,1.099,1.183,2.057,2.223,0.685,0.282,1.038,0.99,1.264,1.61,1.017,1.432,2.338,3.818,1.13,1.011,1.044,0.087,,,78,0.023,2.322,,,,0.007,0.006,0.082,1.421,0.772,0.011,2.51,0.792,0.033,0.079
"Pork, fresh, loin, blade (roasts), bone-in, separable lean only, cooked, roasted",1000,10035,6.882,1.398,0.46,,0.8,88.3,,,,,,,3.4,0.306,1.13,1.217,2.115,2.285,0.704,0.29,1.068,1.018,1.3,1.656,1.045,1.472,2.404,3.926,1.161,1.039,1.073,0.09,,,83,0.071,3.934,,,0.002,0.011,0.009,0.139,2.403,1.308,0.017,4.257,1.345,0.056,0.055
"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, raw",1000,10036,6.619,0.704,0.697,,0.53,55.8,,,,,,,3,0.218,0.93,1.019,1.764,1.921,0.57,0.239,0.871,0.788,1.082,1.378,0.895,1.216,2.026,3.306,0.933,0.837,0.895,0.053,,,69,0.092,2.993,,,,0.006,0.004,0.106,1.834,0.997,0.01,3.329,1.052,0.048,0.046
"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, braised",1000,10037,7.868,1.007,0.519,,0.66,95.1,,,,,,,3.7,0.336,1.24,1.336,2.322,2.509,0.773,0.318,1.172,1.118,1.427,1.818,1.147,1.616,2.639,4.309,1.275,1.141,1.178,0.098,,,81,0.076,4.934,,,,0.013,0.012,0.174,3.005,1.652,0.024,5.184,1.877,0.083,0.098
"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, broiled",1000,10038,8.147,0.658,0.669,,0.59,73.2,,,,,,,2.7,0.27,1.15,1.26,2.182,2.375,0.705,0.296,1.077,0.975,1.338,1.704,1.106,1.503,2.505,4.089,1.154,1.035,1.107,0.066,,,84,0.107,3.518,,,,0.006,0.003,0.125,2.168,1.164,0.015,3.958,1.184,0.052,0.077
"Pork, fresh, loin, center loin (roasts), bone-in, separable lean and fat, cooked, roasted",1000,10039,7.42,1.478,0.485,,0.87,92.4,,,,,,,3.6,0.321,1.188,1.279,2.223,2.402,0.74,0.305,1.122,1.07,1.366,1.74,1.099,1.547,2.527,4.126,1.221,1.092,1.128,0.094,,,76,0.093,4.859,,,,0.014,0.011,0.173,2.975,1.614,0.022,5.12,1.848,0.076,0.062
"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, raw",1000,10040,6.934,0.732,0.742,,0.5,58.5,,,,,,,3.1,0.231,0.987,1.082,1.873,2.039,0.606,0.254,0.924,0.837,1.149,1.463,0.95,1.291,2.151,3.51,0.991,0.889,0.951,0.056,,,69,0.033,1.098,,,,0.002,,0.04,0.688,0.355,,1.265,0.353,0.014,0.037
"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, cooked, braised",1000,10041,8.197,1.043,0.555,,0.66,102.3,,,,,,,4,0.359,1.328,1.43,2.486,2.686,0.828,0.341,1.255,1.197,1.528,1.946,1.229,1.73,2.825,4.614,1.365,1.221,1.261,0.105,,,81,0.027,2.671,,,,0.008,0.007,0.094,1.635,0.887,0.012,2.886,0.911,0.038,0.09
"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, cooked, broiled",1000,10042,8.485,0.672,0.701,,0.54,76,,,,,,,2.8,0.282,1.201,1.317,2.279,2.482,0.737,0.309,1.125,1.018,1.398,1.78,1.156,1.571,2.618,4.272,1.206,1.082,1.157,0.069,,,84,0.065,2.156,,,,0.004,,0.078,1.351,0.697,0.008,2.485,0.693,0.027,0.072
"Pork, fresh, loin, center loin (roasts), bone-in, separable lean only, cooked, roasted",1000,10043,7.655,1.555,0.512,,0.88,98.2,,,,,,,3.8,0.34,1.257,1.353,2.353,2.542,0.783,0.322,1.188,1.133,1.446,1.842,1.163,1.637,2.674,4.367,1.292,1.156,1.194,0.1,,,75,0.053,2.932,,,,0.01,0.007,0.105,1.81,0.962,0.013,3.166,1.027,0.037,0.052
