name,group,id,22:6 n-3 (DHA) (g),22:0 (g),14:1 (g),16:1 undifferentiated (g),18:4 (g),20:1 (g),20:5 n-3 (EPA) (g),22:1 undifferentiated (g),22:5 n-3 (DPA) (g),Phytosterols (mg),Stigmasterol (mg),Campesterol (mg),Beta-sitosterol (mg),"Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",15:0 (g),17:0 (g),24:0 (g),16:1 t (g),18:1 t (g),22:1 t (g),18:2 t not further defined (g),18:2 i (g),"18:2 t,t (g)",18:2 CLAs (g),24:1 c (g),"20:2 n-6 c,c (g)",16:1 c (g),18:1 c (g),"18:2 n-6 c,c (g)",22:1 c (g),"18:3 n-6 c,c,c (g)",17:1 (g),20:3 undifferentiated (g),"Fatty acids, total trans-monoenoic (g)","Fatty acids, total trans-polyenoic (g)",13:0 (g),15:1 (g),"18:3 n-3 c,c,c (ALA) (g)",20:3 n-3 (g),20:3 n-6 (g),20:4 n-6 (g),18:3i (g),21:5 (g),22:4 (g),18:1-11t (18:1t n-7) (g)
"Pork, fresh, enhanced, composite of separable fat, cooked",1000,10000,,0.005,0.013,1.115,,0.416,,,,,,,,24.9,8.49,0.036,0.224,,,0.445,,,,0.211,,,0.297,,22.822,7.413,,0.018,0.088,0.051,0.445,,,,0.362,,,,,,,
"Pork, fresh, carcass, separable lean and fat, raw",1000,10001,,,,0.99,,0.27,,,,,,,,15.93,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw",1000,10002,,,,0.126,,0.03,,,,,,,,1.308,0.329,,0.007,,,0.015,,,,0.008,,,0.01,,1.148,0.277,,,,,0.007,0.002,,,0.011,,,,,,,
"Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw",1000,10003,,,,0.377,,0.102,,,,,,,,6.102,1.726,,0.015,,,0.036,,,,0.02,,,0.023,,2.188,0.701,,,,0.002,0.022,0.011,,,0.026,,,,,,,
"Pork, fresh, backfat, raw",1000,10004,,,,2.75,,0.72,,,,,,,,41.95,10.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, belly, raw",1000,10005,,,,1.5,,0.43,,,,,,,,24.7,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, separable fat, raw",1000,10006,0.012,,0.01,0.984,,0.361,,,0.031,,,,,21.488,9.152,0.031,0.192,0.005,,0.333,,0.087,,,,,0.324,,19.8,8.12,,,,0.041,0.333,0.132,,,0.352,,,,0.045,,,
"Pork, fresh, separable fat, cooked",1000,10007,0.011,,0.012,1.15,,0.459,,,0.037,,,,,26.577,11.323,0.039,0.247,0.007,,0.356,,0.088,,,,,0.409,,24.6,10.1,,,,0.049,0.356,0.141,,,0.416,,,,0.053,,,
"Pork, fresh, leg (ham), whole, separable lean and fat, raw",1000,10008,,,,0.53,,0.14,,,,,,,,8.38,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, leg (ham), whole, separable lean and fat, cooked, roasted",1000,10009,,,,0.5,,0.12,,,,,,,,7.88,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, leg (ham), whole, separable lean only, raw",1000,10010,,,,0.17,,0.04,,,,,,,,2.44,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, leg (ham), whole, separable lean only, cooked, roasted",1000,10011,,,,0.3,,0.06,,,,,,,,4.45,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, leg (ham), rump half, separable lean and fat, raw",1000,10012,,,,0.44,,0.12,,,,,,,,6.98,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, leg (ham), rump half, separable lean and fat, cooked, roasted",1000,10013,,,,0.41,,0.09,,,,,,,,6.37,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, leg (ham), rump half, separable lean only, raw",1000,10014,,,,0.16,,0.04,,,,,,,,2.34,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, leg (ham), rump half, separable lean only, cooked, roasted",1000,10015,,,,0.25,,0.05,,,,,,,,3.77,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, leg (ham), shank half, separable lean and fat, raw",1000,10016,,,,0.58,,0.16,,,,,,,,9.34,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, leg (ham), shank half, separable lean and fat, cooked, roasted",1000,10017,,,,0.57,,0.13,,,,,,,,9.02,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, leg (ham), shank half, separable lean only, raw",1000,10018,,,,0.18,,0.04,,,,,,,,2.54,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, leg (ham), shank half, separable lean only, cooked, roasted",1000,10019,,,,0.33,,0.06,,,,,,,,5.02,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
